"no","en","ja","example_en","example_ja"
"466","subscription","サブスクリプション","You can create a subscription to an Amazon SNS topic.","Amazon SNSトピックへのサブスクリプションを作成することができます。"
"467","throughput","スループット","Amazon DynamoDB allows you to provision the desired throughput for your table.","Amazon DynamoDBでは、テーブルの所望のスループットをプロビジョニングできます。"
"468","publish","公開する","You can publish a new version of your AWS Lambda function.","AWS Lambda関数の新しいバージョンを公開することができます。"
"469","dimension","次元","You can filter CloudWatch metrics by dimensions such as InstanceId or ResourceType.","InstanceIdやResourceTypeなどの次元でCloudWatchメトリクスをフィルタリングできます。"
"470","on-demand","オンデマンド","You can use on-demand instances for your AWS resources.","AWSリソースにオンデマンドインスタンスを使用できます。"
"471","development","開発","The development environment is separate from the production environment.","開発環境は本番環境とは別になっています。"
"472","tab","タブ","You can switch between different tabs in the AWS Management Console.","AWSマネジメントコンソールで異なるタブを切り替えることができます。"
"473","host","ホストする","You can host your website on AWS using Amazon S3 and CloudFront.","Amazon S3とCloudFrontを使用してAWS上にウェブサイトをホストできます。"
"474","resolve","解決する","You can use AWS Support to resolve issues with your AWS resources.","AWSサポートを使用してAWSリソースの問題を解決できます。"
"475","contact","連絡する","Please contact AWS support if you have any issues.","問題があればAWSサポートに連絡してください。"
"476","description","説明","The description of the AWS service is provided in the documentation.","AWSサービスの説明はドキュメントで提供されています。"
"477","effect","効果","The effect of the AWS Lambda function can be seen in the logs.","AWS Lambda関数の効果はログで確認できます。"
"478","avoid","避ける","To avoid unnecessary costs delete unused AWS resources.","不要なコストを避けるために、使用していないAWSリソースを削除してください。"
"479","underlying","基礎となる","Understanding the underlying architecture of AWS services is crucial for optimization.","AWSサービスの基礎となるアーキテクチャを理解することは、最適化に不可欠です。"
"480","assign","割り当てる","You can assign an IAM role to an EC2 instance for access control.","アクセス制御のためにIAMロールをEC2インスタンスに割り当てることができます。"
"481","manifest","明示的な","The manifest file in Amazon S3 is used to list the objects to be processed.","Amazon S3のマニフェストファイルは、処理されるオブジェクトをリストするために使用されます。"
"482","fully","完全に","AWS provides fully managed services to help you build and scale your applications.","AWSは、アプリケーションの構築とスケーリングを支援するための完全に管理されたサービスを提供します。"
"483","edge","エッジ","AWS Edge locations help to reduce latency for end users.","AWSのエッジロケーションは、エンドユーザーのレイテンシを削減するのに役立ちます。"
"484","character","文字","You can use alphanumeric characters for naming your S3 bucket.","S3バケットの命名には英数字の文字を使用できます。"
"485","archive","アーカイブ","You can use Amazon Glacier for long-term data archiving.","長期間のデータアーカイブにはAmazon Glacierを使用できます。"
"486","link","リンク","You can create a VPC peering connection to link two VPCs.","2つのVPCをリンクするためにVPCピアリング接続を作成できます。"
"487","on-premises","オンプレミス","AWS Direct Connect allows you to establish a dedicated network connection between your on-premises data center and AWS.","AWS Direct Connectを使用すると、オンプレミスのデータセンターとAWSとの間に専用のネットワーク接続を確立できます。"
"488","buffer","バッファ","Kinesis Data Streams uses a buffer to temporarily store incoming data before processing it.","Kinesis Data Streamsは、データを処理する前に入力データを一時的に保存するためにバッファを使用します。"
"489","cross-account","クロスアカウント","Cross-account access allows you to access resources in another AWS account.","クロスアカウントアクセスにより、別のAWSアカウントのリソースにアクセスできます。"
"490","row","行","You can store multiple rows of data in an Amazon RDS table.","Amazon RDSテーブルに複数の行のデータを格納できます。"
"491","stream","ストリーム","Amazon Kinesis Data Streams can be used to process and analyze real-time data.","Amazon Kinesis Data Streamsを使用してリアルタイムデータを処理および分析できます。"
"492","scenario","シナリオ","You can create different scenarios in AWS to test your application under various conditions.","AWSでさまざまな条件下でアプリケーションをテストするための異なるシナリオを作成できます。"
"493","limitation","制限","There are certain limitations on the number of instances you can run in an AWS account.","AWSアカウントで実行できるインスタンスの数には一定の制限があります。"
"494","preceding","前の","The preceding step in the AWS setup process is to create an IAM user.","AWSセットアッププロセスの前のステップは、IAMユーザーを作成することです。"
"495","less","より少ない","The new AWS instance has less storage capacity than the previous one.","新しいAWSインスタンスは、前のものよりもストレージ容量が少ないです。"
"496","pattern","パターン","The AWS CloudFormation template follows a specific pattern for resource provisioning.","AWS CloudFormationテンプレートは、リソースプロビジョニングに特定のパターンに従います。"
"497","recent","最近の","The recent AWS outage affected many customers.","最近のAWSの停止は多くの顧客に影響を与えました。"
"498","correct","正しい","Please ensure that you have entered the correct AWS access key and secret key.","正しいAWSアクセスキーとシークレットキーを入力したことを確認してください。"
"499","asynchronous","非同期","The Lambda function processes the data asynchronously.","Lambda関数はデータを非同期で処理します。"
"500","spot","スポット","We can save costs by using Spot Instances in our AWS environment.","AWS環境でスポットインスタンスを使用することでコストを節約できます。"
"501","spatial","空間","Amazon Location Service provides spatial data processing capabilities.","Amazon Location Serviceは空間データ処理機能を提供します。"
"502","advanced","高度な","Amazon SageMaker offers advanced machine learning capabilities.","Amazon SageMakerは高度な機械学習機能を提供します。"
"503","control","制御する","We can control access to our S3 buckets using bucket policies.","バケットポリシーを使用してS3バケットへのアクセスを制御できます。"
"504","own","所有する","We can create our own custom VPC in AWS to isolate our resources.","AWSで独自のカスタムVPCを作成してリソースを隔離できます。"
"505","driver","ドライバー","The Amazon Redshift JDBC driver allows us to connect to our Redshift cluster.","Amazon Redshift JDBCドライバーを使用して、Redshiftクラスターに接続できます。"
"506","community","コミュニティ","AWS has a large and active community that can help you with any questions or issues you may encounter.","AWSには、質問や問題に対応できる大規模で活発なコミュニティがあります。"
"507","additionally","さらに","Additionally, AWS provides various resources and tools to help you optimize your infrastructure.","さらに、AWSはインフラストラクチャを最適化するためのさまざまなリソースとツールを提供しています。"
"508","pricing","価格設定","AWS offers flexible pricing options to fit your needs and budget.","AWSは、ニーズと予算に合わせた柔軟な価格オプションを提供しています。"
"509","regardless","関係なく","Regardless of the size of your business, AWS can provide the necessary resources and services.","ビジネスの規模に関係なく、AWSは必要なリソースとサービスを提供できます。"
"510","static","静的","You can use a static IP address for your AWS resources to ensure they remain constant.","AWSリソースに静的IPアドレスを使用して、一定に保つことができます。"
"511","series","シリーズ","The AWS blog features a series of articles on best practices for using AWS services.","AWSブログには、AWSサービスのベストプラクティスに関する一連の記事が掲載されています。"
"512","restart","再起動","If you need to make changes to your instance, you can restart it from the AWS Management Console.","インスタンスに変更を加える必要がある場合は、AWS管理コンソールから再起動できます。"
"513","stop","停止","You can stop your AWS instances when they are not in use to save on costs.","使用していないAWSインスタンスを停止してコストを節約できます。"
"514","scheduler","スケジューラ","AWS Batch uses a scheduler to manage the execution of jobs in a queue"," AWS Batchはスケジューラを使用してキュー内のジョブの実行を管理します"
"515","federated","連携した","You can use AWS Single Sign-On to enable federated access to your AWS accounts"," AWSシングルサインオンを使用して、AWSアカウントへの連携アクセスを有効にできます"
"516","number","数","The number of instances in an Auto Scaling group can be adjusted automatically"," Auto Scalingグループ内のインスタンス数は自動的に調整できます"
"517","maintain","維持する","Amazon RDS helps you maintain high availability and failover support for your databases"," Amazon RDSはデータベースの高可用性とフェイルオーバーサポートを維持するのに役立ちます"
"518","unless","～でない限り","You will not be charged for data transfer unless you exceed the free tier limit"," フリーティアの制限を超えない限り、データ転送に対して課金されません"
"519","consistent","一貫した","Amazon S3 provides read-after-write consistency for PUT and DELETE operations"," Amazon S3はPUTおよびDELETE操作に対して書き込み後の一貫性を提供します"
"520","successful","成功した","The CloudFormation stack was successfully created"," CloudFormationスタックが正常に作成されました"
"521","customize","カスタマイズする","You can customize the AWS Management Console to suit your preferences.","AWS管理コンソールをお好みに合わせてカスタマイズできます。"
"522","setup","設定","Follow the setup instructions to configure your AWS environment.","AWS環境を設定するために設定手順に従ってください。"
"523","pair","ペア","Create a key pair for secure access to your EC2 instances.","EC2インスタンスへの安全なアクセスのためにキーペアを作成してください。"
"524","count","数","The count of running instances is displayed on the dashboard.","実行中のインスタンスの数がダッシュボードに表示されます。"
"525","identifier","識別子","Each resource has a unique identifier in AWS.","各リソースには、AWS内で一意の識別子があります。"
"526","unit","単位","The pricing for AWS services is based on usage units.","AWSサービスの価格は、使用単位に基づいています。"
"527","appcontainer","アプリコンテナ","Use the AppContainer service to deploy and manage your applications.","AppContainerサービスを使用してアプリケーションをデプロイおよび管理します。"
"528","become","〜になる","When the instance becomes available, you can connect to it.","インスタンスが利用可能になると、それに接続できます。"
"529","part","部分","The storage part of AWS S3 is designed for high durability.","AWS S3のストレージ部分は、高い耐久性を持つように設計されています。"
"530","communicate","通信する","The instances in a VPC can communicate with each other using private IP addresses.","VPC内のインスタンスは、プライベートIPアドレスを使用して互いに通信できます。"
"531","therefore","それゆえに","The AWS Free Tier has usage limits, therefore you should monitor your usage to avoid unexpected charges.","AWS無料枠には使用制限があるため、予期しない請求を避けるために使用状況を監視する必要があります。"
"532","package","パッケージ","You can use AWS Lambda to run your code as a package without provisioning any servers.","AWS Lambdaを使用して、サーバーをプロビジョニングせずにコードをパッケージとして実行できます。"
"533","scale-in","スケールイン","AWS Auto Scaling automatically scales in the number of instances when the demand decreases.","AWS Auto Scalingは、需要が減少したときにインスタンスの数を自動的にスケールインします。"
"534","continuous","連続的","AWS CodePipeline enables continuous delivery of your application.","AWS CodePipelineを使用すると、アプリケーションの連続的なデリバリが可能になります。"
"535","server-side","サーバーサイド","Amazon S3 supports server-side encryption for data at rest.","Amazon S3は、データの保存時にサーバーサイド暗号化をサポートしています。"
"536","learn","学ぶ","Amazon SageMaker helps you learn and build machine learning models.","Amazon SageMakerは、機械学習モデルの学習と構築を支援します。"
"537","decide","決定する","Amazon SWF helps you decide the next step in your workflow.","Amazon SWFは、ワークフローの次のステップを決定するのに役立ちます。"
"538","inside","内部","AWS VPC allows you to create a private network inside the AWS cloud.","AWS VPCを使用すると、AWSクラウド内部にプライベートネットワークを作成できます。"
"539","delivery","配信","Amazon SNS provides fast and reliable message delivery.","Amazon SNSは迅速かつ信頼性の高いメッセージ配信を提供します。"
"540","due","期限","Ensure your AWS bill is paid on time to avoid service interruptions due to non-payment.","AWSの請求書が期限内に支払われるようにして、未払いによるサービスの中断を避けてください。"
"541","pull","引く","Use AWS CodeCommit to pull the latest code changes from your repository.","AWS CodeCommitを使用して、リポジトリから最新のコード変更を引き出します。"
"542","sensitive","機密性のある","Store sensitive data in AWS Secrets Manager to protect it from unauthorized access.","機密性のあるデータをAWS Secrets Managerに保存して、不正アクセスから保護します。"
"543","revision","改訂","AWS provides revision history for your Lambda functions.","AWSはLambda関数の改訂履歴を提供します。"
"544","device","デバイス","You can register your IoT devices with AWS IoT Core.","AWS IoT CoreにIoTデバイスを登録できます。"
"545","implement","実装する","You can implement custom logic using AWS Lambda.","AWS Lambdaを使用してカスタムロジックを実装できます。"
"546","space","スペース","Amazon S3 provides unlimited storage space for your data.","Amazon S3はデータの無制限のストレージスペースを提供します。"
"547","deliver","配信する","Amazon CloudFront delivers your content with low latency.","Amazon CloudFrontは低レイテンシでコンテンツを配信します。"
"548","strongly","強く","AWS strongly recommends using encryption for data at rest.","AWSはデータの暗号化を強く推奨します。"
"549","browser","ブラウザ","You can access the AWS Management Console using a web browser.","ウェブブラウザを使用してAWS管理コンソールにアクセスできます。"
"550","approach","アプローチ","There are several approaches to optimize AWS resource usage.","AWSリソースの使用を最適化するためのいくつかのアプローチがあります。"
"551","threshold","しきい値","Set a threshold for the CPU usage of your EC2 instance to trigger an alarm.","EC2インスタンスのCPU使用率のしきい値を設定してアラームをトリガーします。"
"552","ownership","所有権","Transfer ownership of the S3 bucket to another AWS account.","S3バケットの所有権を別のAWSアカウントに譲渡します。"
"553","developer","開発者","The AWS Developer Guide provides detailed information for developers.","AWS開発者ガイドは、開発者向けの詳細な情報を提供します。"
"554","thus","したがって","By using AWS Lambda, you can reduce the operational overhead, thus saving time and resources.","AWS Lambdaを使用することで、運用オーバーヘッドを削減し、時間とリソースを節約できます。"
"555","shard","シャード","Amazon Kinesis Data Streams uses shards to scale the stream capacity.","Amazon Kinesis Data Streamsはシャードを使用してストリーム容量をスケールします。"
"556","balance","バランス","Amazon ELB helps you balance the load across multiple instances.","Amazon ELBは、複数のインスタンス間で負荷をバランスさせるのに役立ちます。"
"557","large","大きい","Amazon EC2 offers various instance types for large workloads.","Amazon EC2は、大規模なワークロードに対応するさまざまなインスタンスタイプを提供しています。"
"558","analytic","分析の","AWS offers various analytics services such as Amazon Redshift and Amazon Kinesis.","AWSは、Amazon RedshiftやAmazon Kinesisなどのさまざまな分析サービスを提供しています。"
"559","attempt","試みる","You can attempt to troubleshoot issues using AWS Support Center.","AWSサポートセンターを使用して問題のトラブルシューティングを試みることができます。"
"560","serve","提供する","Amazon S3 serves as a highly scalable and durable storage solution for your data.","Amazon S3は、データの高度にスケーラブルで耐久性のあるストレージソリューションとして機能します。"
"561","write","書き込む","Amazon DynamoDB allows you to write and read data with low latency.","Amazon DynamoDBでは、低レイテンシでデータの読み書きが可能です。"
"562","alternatively","代わりに","Alternatively, you can use AWS Lambda to run your code without provisioning or managing servers.","代わりに、AWS Lambdaを使用してサーバーのプロビジョニングや管理なしでコードを実行できます。"
"563","dynamic","動的","DynamoDB supports dynamic scaling to handle sudden increases in traffic.","DynamoDBは、トラフィックの急増に対処するための動的スケーリングをサポートしています。"
"564","other","他の","You can use AWS Organizations to manage multiple AWS accounts and apply policies to other accounts.","AWS Organizationsを使用して複数のAWSアカウントを管理し、他のアカウントにポリシーを適用できます。"
"565","capability","機能","AWS Identity and Access Management (IAM) provides fine-grained access control capabilities for your AWS resources.","AWS Identity and Access Management（IAM）は、AWSリソースに対する細かいアクセス制御機能を提供します。"
"566","match","一致する","Amazon CloudFront uses cache behaviors to match specific URL patterns and apply different caching rules.","Amazon CloudFrontは、キャッシュ動作を使用して特定のURLパターンと一致させ、異なるキャッシュルールを適用します。"
"567","billing","課金","AWS provides detailed billing reports to help you manage your costs.","AWSは、コスト管理を支援するために詳細な課金レポートを提供します。"
"568","predefined","事前定義された","You can use predefined AWS IAM policies to grant permissions to your users.","AWS IAMポリシーを使用して、ユーザーに権限を付与することができます。"
"569","easier","簡単に","Using AWS CloudFormation makes it easier to manage and deploy your infrastructure.","AWS CloudFormationを使用すると、インフラストラクチャの管理とデプロイが簡単になります。"
"570","although","ただし","Although AWS provides a free tier, you may still incur costs for certain services.","AWSは無料枠を提供していますが、一部のサービスではコストが発生する場合があります。"
"571","administrative","管理","Administrative tasks in AWS can be automated using AWS Lambda functions.","AWSの管理タスクは、AWS Lambda関数を使用して自動化することができます。"
"572","offer","提供","Amazon Web Services offers a wide range of cloud computing services.","Amazon Web Servicesは、幅広いクラウドコンピューティングサービスを提供しています。"
"573","post","投稿","You can post messages to an Amazon SNS topic to notify subscribers.","Amazon SNSトピックにメッセージを投稿して、サブスクライバーに通知することができます。"
"574","combination","組み合わせ","You can use a combination of AWS services to build a scalable and secure application.","AWSサービスの組み合わせを使用して、スケーラブルでセキュアなアプリケーションを構築できます。"
"575","timeout","タイムアウト","The Lambda function execution exceeded the timeout limit.","Lambda関数の実行がタイムアウト制限を超えました。"
"576","array","配列","You can store multiple values in an array using AWS Lambda.","AWS Lambdaを使用して、配列に複数の値を格納できます。"
"577","design","設計する","It is important to design your AWS infrastructure for high availability.","高可用性のためにAWSインフラを設計することが重要です。"
"578","progress","進行状況","You can monitor the progress of your AWS Data Pipeline using CloudWatch.","CloudWatchを使用して、AWS Data Pipelineの進行状況を監視できます。"
"579","clause","節","The IAM policy includes a condition clause to restrict access based on IP address.","IAMポリシーには、IPアドレスに基づいてアクセスを制限する条件節が含まれています。"
"580","member","メンバー","You can add or remove members from an AWS Organizations unit.","AWS Organizationsのユニットからメンバーを追加または削除できます。"
"581","exception","例外","You should handle exceptions in your AWS Lambda function code to avoid unexpected errors.","予期しないエラーを回避するために、AWS Lambda関数のコードで例外を処理する必要があります。"
"582","pipeline","パイプライン","You can use AWS CodePipeline to automate your software release process.","AWS CodePipelineを使用してソフトウェアのリリースプロセスを自動化できます。"
"583","constraint","制約","You need to consider the constraints of your AWS resources when designing your architecture.","アーキテクチャを設計する際に、AWSリソースの制約を考慮する必要があります。"
"584","blue-green","ブルーグリーン","You can use the blue-green deployment strategy to minimize downtime during application updates.","アプリケーションの更新中のダウンタイムを最小限に抑えるために、ブルーグリーンデプロイメント戦略を使用できます。"
"585","programmatically","プログラムで","You can programmatically manage your AWS resources using the AWS SDKs.","AWS SDKを使用して、プログラムでAWSリソースを管理できます。"
"586","high","高い","Amazon S3 provides high durability for your stored objects.","Amazon S3は、保存されたオブジェクトに高い耐久性を提供します。"
"587","testing","テスト","We are currently testing the new AWS feature to ensure its reliability.","現在、新しいAWS機能の信頼性を確保するためにテストを行っています。"
"588","explicitly","明示的に","You need to explicitly grant permissions to access the AWS resource.","AWSリソースにアクセスするためには、明示的に権限を付与する必要があります。"
"589","optimize","最適化する","We need to optimize our AWS infrastructure to reduce costs and improve performance.","コスト削減とパフォーマンス向上のために、AWSインフラを最適化する必要があります。"
"590","refer","参照する","Please refer to the AWS documentation for more information on this service.","このサービスの詳細については、AWSドキュメントを参照してください。"
"591","inline","インライン","We use inline policies to manage permissions for individual AWS users.","個々のAWSユーザーの権限を管理するために、インラインポリシーを使用しています。"
"592","demonstrate","示す","This tutorial demonstrates how to set up an Amazon EC2 instance.","このチュートリアルでは、Amazon EC2インスタンスの設定方法を示しています。"
"593","pass","渡す","We pass the API key as a parameter to access the AWS service.","AWSサービスにアクセスするために、APIキーをパラメータとして渡します。"
"594","mutation","変更","The AWS AppSync service allows you to perform mutations on your data.","AWS AppSyncサービスを使用すると、データの変更を行うことができます。"
"595","tagging","タグ付け","Tagging resources in AWS helps you manage and organize them.","AWSのリソースにタグを付けることで、管理と整理が容易になります。"
"596","choose","選択する","Choose the right AWS service for your specific use case.","特定のユースケースに適したAWSサービスを選択してください。"
"597","migrate","移行する","You can use AWS Database Migration Service to migrate your on-premises database to the cloud.","オンプレミスのデータベースをクラウドに移行するために、AWS Database Migration Serviceを使用できます。"
"598","third-party","第三者","You can integrate third-party tools with AWS services for enhanced functionality.","機能を強化するために、第三者のツールをAWSサービスと統合できます。"
"599","impact","影響","Monitor the impact of your AWS resources on your application performance.","アプリケーションのパフォーマンスに対するAWSリソースの影響を監視してください。"
"600","lower","低い","Using Amazon EC2 Spot Instances can help lower your compute costs.","Amazon EC2スポットインスタンスを使用することで、コンピューティングコストを抑えることができます。"
"601","composite","複合","The composite key is a combination of partition key and sort key in DynamoDB.","DynamoDBの複合キーは、パーティションキーとソートキーの組み合わせです。"
"602","average","平均","You can use CloudWatch to monitor the average CPU utilization of your EC2 instances.","CloudWatchを使用して、EC2インスタンスの平均CPU利用率を監視できます。"
"603","subscribe","購読する","You can subscribe to SNS topics to receive notifications.","SNSトピックを購読して通知を受け取ることができます。"
"604","argument","引数","Lambda functions accept event and context as arguments.","Lambda関数はイベントとコンテキストを引数として受け取ります。"
"605","trace","トレース","You can use AWS X-Ray to trace requests made to your application.","AWS X-Rayを使用して、アプリケーションへのリクエストをトレースできます。"
"606","evaluate","評価する","The system evaluates the performance of the AWS resources.","システムはAWSリソースのパフォーマンスを評価します。"
"607","overview","概要","The AWS Management Console provides an overview of all your resources.","AWS管理コンソールは、すべてのリソースの概要を提供します。"
"608","relevant","関連する","It is important to consider relevant factors when choosing an AWS service.","AWSサービスを選択する際には、関連する要素を考慮することが重要です。"
"609","validation","検証","The validation process ensures that the AWS infrastructure is configured correctly.","検証プロセスにより、AWSインフラストラクチャが正しく設定されていることが確認されます。"
"610","form","形式","The data is stored in a structured form in the AWS database.","データはAWSデータベースに構造化された形式で保存されます。"
"611","prerequisite","前提条件","Understanding the prerequisites is essential before deploying an AWS solution.","AWSソリューションをデプロイする前に、前提条件を理解することが不可欠です。"
"612","authenticate","認証する","Users must authenticate themselves before accessing the AWS resources.","ユーザーはAWSリソースにアクセスする前に、自分自身を認証する必要があります。"
"613","analysis","分析","AWS provides tools for data analysis and visualization.","AWSはデータ分析と可視化のためのツールを提供します。"
"614","scope","範囲","The scope of the AWS project should be clearly defined.","AWSプロジェクトの範囲は明確に定義されるべきです。"
"615","priority","優先度","You can set the priority of your AWS Lambda function to control its execution order.","AWS Lambda関数の実行順序を制御するために、優先度を設定できます。"
"616","question","質問","If you have any questions about AWS services, you can refer to the official documentation.","AWSサービスに関する質問がある場合は、公式ドキュメントを参照できます。"
"617","evidence","証拠","You can use AWS CloudTrail to collect evidence of user activity for auditing purposes.","監査目的でユーザーアクティビティの証拠を収集するために、AWS CloudTrailを使用できます。"
"618","integrate","統合する","You can integrate AWS Lambda with Amazon S3 to automatically process uploaded files.","AWS LambdaをAmazon S3と統合して、アップロードされたファイルを自動的に処理できます。"
"619","problem","問題","If you encounter any problems with your AWS resources, you can contact AWS Support for assistance.","AWSリソースで問題が発生した場合は、AWSサポートに連絡してサポートを受けることができます。"
"620","troubleshoot","トラブルシューティング","You can use AWS Trusted Advisor to troubleshoot performance issues with your Amazon EC2 instances.","Amazon EC2インスタンスのパフォーマンス問題をトラブルシューティングするために、AWS Trusted Advisorを使用できます。"
"621","wildcard","ワイルドカード","In the AWS Management Console, you can use a wildcard (*) to search for resources with a specific pattern.","AWSマネジメントコンソールでは、特定のパターンを持つリソースを検索するためにワイルドカード(*)を使用できます。"
"622","sufficient","十分な","Ensure that your AWS resources have sufficient capacity to handle the expected workload.","AWSリソースが予想されるワークロードを処理するのに十分な容量があることを確認してください。"
"623","actual","実際の","Monitor the actual usage of your AWS resources to optimize costs and performance.","AWSリソースの実際の使用状況を監視して、コストとパフォーマンスを最適化します。"
"624","consideration","考慮事項","When designing your AWS architecture, take into consideration factors such as security, scalability, and cost.","AWSアーキテクチャを設計する際には、セキュリティ、スケーラビリティ、コストなどの要素を考慮に入れてください。"
"625","except","除く","All AWS services are available for use, except those that are explicitly restricted.","明示的に制限されているものを除いて、すべてのAWSサービスが利用可能です。"
"626","expect","予期する","When planning your AWS infrastructure, consider the expected traffic and resource usage.","AWSインフラストラクチャを計画する際には、予想されるトラフィックとリソースの使用状況を考慮してください。"
"627","graph","グラフ","Use Amazon CloudWatch to create graphs and visualizations of your AWS resource usage.","Amazon CloudWatchを使用して、AWSリソースの使用状況のグラフや視覚化を作成します。"
"628","replicate","複製する","You can use AWS Database Migration Service to replicate your data to another region.","AWS Database Migration Serviceを使用してデータを別のリージョンに複製できます。"
"629","cross-region","クロスリージョン（異なるリージョン間）","Cross-region replication is a feature that allows you to replicate data between different AWS regions.","クロスリージョンレプリケーションは、異なるAWSリージョン間でデータを複製できる機能です。"
"630","filtering","フィルタリング","You can use Amazon S3 event notifications to filter events based on object key name prefixes and suffixes.","Amazon S3イベント通知を使用して、オブジェクトキー名のプレフィックスとサフィックスに基づいてイベントをフィルタリングできます。"
"631","solution","ソリューション","AWS provides a wide range of solutions to help you build and deploy applications.","AWSは、アプリケーションの構築とデプロイを支援する幅広いソリューションを提供しています。"
"632","percentage","パーセンテージ","You can set up alarms to monitor the percentage of read and write capacity units consumed by your Amazon DynamoDB table.","Amazon DynamoDBテーブルで消費される読み取りおよび書き込みキャパシティユニットのパーセンテージを監視するアラームを設定できます。"
"633","restrict","制限する","You can restrict access to your Amazon S3 bucket by creating an IAM policy.","IAMポリシーを作成することで、Amazon S3バケットへのアクセスを制限できます。"
"634","bit","ビット","Amazon EC2 instances support 64-bit and 32-bit architectures.","Amazon EC2インスタンスは、64ビットおよび32ビットアーキテクチャをサポートしています。"
"635","base","ベース","Amazon RDS provides a base backup feature that allows you to create a snapshot of your database.","Amazon RDSは、データベースのスナップショットを作成できるベースバックアップ機能を提供しています。"
"636","waiting","待機中","You can use Amazon CloudWatch to monitor the number of waiting requests in your Amazon ELB.","Amazon CloudWatchを使用して、Amazon ELBの待機中のリクエスト数を監視できます。"
"637","edition","エディション","AWS offers different editions of its services to cater to various customer needs.","AWSは、さまざまな顧客ニーズに対応するために、サービスの異なるエディションを提供しています。"
"638","greater","より大きい","The new instance type provides greater performance than the previous one.","新しいインスタンスタイプは、以前のものよりも高いパフォーマンスを提供します。"
"639","affect","影響する","Changing the instance type may affect the performance of your application.","インスタンスタイプを変更すると、アプリケーションのパフォーマンスに影響する可能性があります。"
"640","embedded","組み込まれた","The embedded system in the AWS IoT device allows for seamless integration with other services.","AWS IoTデバイスに組み込まれたシステムにより、他のサービスとのシームレスな統合が可能です。"
"641","difference","違い","The main difference between AWS Lambda and EC2 is the way they handle compute resources.","AWS LambdaとEC2の主な違いは、コンピューティングリソースの取り扱い方です。"
"642","scan","スキャン","You can use Amazon Inspector to scan your AWS resources for security vulnerabilities.","Amazon Inspectorを使用して、AWSリソースのセキュリティ脆弱性をスキャンできます。"
"643","restriction","制限","AWS has certain restrictions on the number of instances you can launch in a region.","AWSでは、リージョンで起動できるインスタンスの数に制限があります。"
"644","incoming","受信","You can use AWS WAF to block incoming traffic from specific IP addresses.","AWS WAFを使用して、特定のIPアドレスからの受信トラフィックをブロックできます。"
"645","standby","待機","Amazon RDS provides a standby instance for high availability and failover support.","Amazon RDSは、高可用性とフェイルオーバーサポートのために待機インスタンスを提供します。"
"646","agentless","エージェントレス","AWS Systems Manager is an agentless service that helps you manage your AWS resources.","AWS Systems Managerは、AWSリソースを管理するためのエージェントレスサービスです。"
"647","increase","増加する","You can increase the performance of your Amazon RDS instance by adding read replicas.","リードレプリカを追加することで、Amazon RDSインスタンスのパフォーマンスを向上させることができます。"
"648","consist","構成する","The architecture consists of multiple AWS services working together.","アーキテクチャは複数のAWSサービスが連携して構成されています。"
"649","confirm","確認する","Please confirm that the AWS resources are properly configured before deployment.","デプロイメント前にAWSリソースが適切に設定されていることを確認してください。"
"650","intend","意図する","The new feature is intended to improve the performance of AWS Lambda functions.","新しい機能はAWS Lambda関数のパフォーマンスを向上させることを意図しています。"
"651","whenever","いつでも","The AWS Lambda function will be triggered whenever a new file is uploaded to the S3 bucket.","新しいファイルがS3バケットにアップロードされるたびに、AWS Lambda関数がトリガーされます。"
"652","itself","それ自体","The AWS service itself handles the scaling and management of resources.","AWSサービス自体がリソースのスケーリングと管理を行います。"
"653","validate","検証する","Please validate the AWS CloudFormation template before deploying it"," AWS CloudFormationテンプレートをデプロイする前に検証してください"
"654","net","ネット","The net cost of using AWS services depends on your usage patterns"," AWSサービスのネットコストは、使用パターンによって異なります"
"655","locate","位置する","The AWS data center is located in multiple regions around the world"," AWSのデータセンターは世界中の複数のリージョンに位置しています"
"656","have","持っている","You should have a backup strategy for your AWS resources"," AWSリソースに対してバックアップ戦略を持っているべきです"
"657","interact","相互作用する","You can interact with AWS services using the AWS Management Console"," AWSマネジメントコンソールを使用してAWSサービスと相互作用できます"
"658","fluent","流暢な","The AWS SDK provides a fluent API for interacting with AWS services.","AWS SDKは、AWSサービスとやり取りするための流暢なAPIを提供します。"
"659","key-value","キーと値","Amazon DynamoDB is a key-value and document database that delivers single-digit millisecond performance at any scale.","Amazon DynamoDBは、キーと値およびドキュメントデータベースであり、どんな規模でもミリ秒単位のパフォーマンスを提供します。"
"660","mechanism","仕組み","Amazon S3 provides a simple web services interface that can be used to store and retrieve any amount of data, at any time, from anywhere on the web.","Amazon S3は、Web上の任意の場所から、いつでも任意の量のデータを保存および取得するために使用できるシンプルなWebサービスインターフェースを提供します。"
"661","initiate","開始する","You can initiate an AWS Lambda function by using an Amazon S3 event.","Amazon S3イベントを使用してAWS Lambda関数を開始することができます。"
"662","terminate","終了する","You can terminate an Amazon EC2 instance when it is no longer needed.","不要になったAmazon EC2インスタンスを終了することができます。"
"663","authorized","認可された","Only authorized users can access the resources in your AWS account.","認可されたユーザーのみがAWSアカウントのリソースにアクセスできます。"
"664","real-time","リアルタイム","AWS Kinesis enables you to collect, process, and analyze real-time streaming data.","AWS Kinesisを使用すると、リアルタイムのストリーミングデータを収集、処理、分析することができます。"
"665","period","期間","You can set a retention period for your Amazon RDS backups.","Amazon RDSバックアップの保持期間を設定することができます。"
